,text,class
0," Trigger Baru ""tanya!""

 Apa yang Bisa Dilakukan?
Kamu bisa bertanya tentang hal-hal dasar seputar BINUS University atau bahkan curhat dengan 
@binus_fesss
 Assistant.

 Cara Menggunakan:
Cukup ketik ""Tanya!"" diikuti dengan pertanyaan atau curhatan kamu. 

Contohnya:…",1
1, Kalo di binus! Bisa izin libur seminggu ga sih? Soalnya bentar lagi bakal lebaran dan sender kudu pulkam  any info guys?,1
2," Binus! Kalau enrichment ambil research, liburnya ngikutin libur smt ya?",1
3, binus! buat daftar sp langsung join zoom besok atau mesti regist dulu sblm joiin??,1
4, struggle! should i run away?? seriously,1
5," binus! Plis bgt guys yang adda info jamcomserv , sender butuh bgt masi kurang 10jam",1
6, binus! adda yang tau info soal SP gakk? udh adda update kah?,1
7," binus! site supervisor bisa nge-approve logbook magang yang udah di-submit itu dimana ya? gua nanya ke supervisor katanya nggak adda di email, atau emang bukan lewat email ya?",1
8, Struggle! adda yg pernah bayar tuition fee mendekati uts bgt gaa? kaya h-7 atau h-3 ujian baru bayar. kalo adda itu gmna yaa? harus konfirmasi dulu ke binus atau nnti pas mau bayar aja baru ke ssc? tia!!!,1
9," binus! bagi template chat dosen kalau mau ijin absen dongg, yang dari binus fess kemarin ilang soalnya ",1
10," binus! KMG atau alsut addakah yang main VRChat, atau VR enthusiast? Gk pernah ketemu.. mutualan dong ",1
11," Binus! ian KMG, siapa yang udah pernah masuk ke EllenShop accessories yang di samping red dog?? Kalo boleh tau, harga aksesorisnya kisaran brpan ya? Sender tkut msuk doang gk beli ",1
12," Binus! Tips buat b28 SI,NYICIL AKUNTANSI YAaa,kl adda pr janlup kerjain(khususny akuntansi):)",1
13, binus! spill preloved kalian dong,1
14, Binus! Sender ulang tahun hari ini ,1
15," binus! Ada yang mau bantu isi kuisioner ga buat tugas kuliah? Khusus cewe-cewe yang pernah pakai e-commerce oren ya! Minta bantuan banget karna butuh banyak respondent, linknya aku taro di rep yaa",1
16, kaka kaka binus! jurusan dkv terutama newmed biasanya magang dimana ya?,1
17, binus! mutualan spotify mau ga? nanti aku dm ,1
18," binus! info dong anak binus kemanggisan especially cowok” kalau nongkrong kemana/mall apa, crush aku mau masuk binus kemanggisan ",1
